co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
256066,410,437.35,406.65,53380997,423.3,11277321,2
256066,441,441.5,421.3,50362840,427.8,8019429,2
256066,430,431.6,423.65,31044470,427.75,5973108,2
256066,434.15,437.6,431.1,18425359,434.51,3120874,2
256066,433.5,449,426.2,37991906,438.58,6686878,2
256066,450,461.4,441,45878605,450.01,6452488,2
256066,447.85,457,446.05,29162682,452.36,6984633,2
256066,449.9,451.45,437,25676461,443.12,5559514,2
256066,443.95,446.4,432.75,21326996,439.02,3355967,2
256066,434.9,435.8,415.4,25686686,422.06,6357440,2
256066,424,444.45,422.75,43250557,434.49,9206129,2
256066,431.95,436.15,418.45,30183798,426.78,4168147,2
256066,434,439.9,424.6,33465094,431.92,8106072,2
256066,437.7,442.8,429.3,30400830,435.38,5802030,2
256066,440,451,438.5,43147781,444.56,11022992,2
256066,478,484.6,460.1,89612153,471.33,18041167,2
256066,472.95,474.75,459.2,40250274,465.01,10296393,2
256066,456.6,456.6,441.55,30567381,446.76,6083457,2
256066,447,448,429.9,21924614,434.54,5904126,2
256066,434,440,424.4,33057789,432.9,6987902,2
256066,435.75,447,434.3,24404909,442.06,3628091,2
256066,441.9,445.9,424.75,26862223,434.47,5952121,2
256066,429,434.45,421.3,27499643,428.84,4717737,2
256066,431.6,431.9,415.7,23824147,421.43,5354800,2
256066,421.85,431.2,417.35,24748403,423.84,3755993,2
256066,439,446.85,433.15,36936666,440.15,6256624,2
256066,436,438.3,427.1,33465332,432.71,8891863,2
256066,431.45,437,427.15,15570556,433.75,3114356,2
256066,434,437,429.3,14888275,433.65,3408596,2
256066,435.3,449.9,435.3,30469680,443.6,7923757,2
256066,444.8,452.75,438.95,23184443,447.74,5002474,2
256066,454.1,456.75,445.35,21885898,450.43,7190903,2
256066,451.5,451.5,425.6,36726464,437.21,16436112,2
256066,439.1,441,425.35,30198451,432.73,11796596,2
256066,439.5,447.25,435.3,21768573,441.32,6174654,2
256066,446,451.95,442.45,18133177,447.79,5651063,2
256066,437.9,441.3,433.25,16689591,436.79,5349666,2
256066,440,444.85,436.25,25088216,440.01,10068085,2
256066,444,449.45,442.3,18197925,445.6,5787164,2
256066,450.95,456.4,447.1,26273650,452.52,6549165,2
256066,452,464.8,449,25914927,459.77,7585667,2
256066,464,474.5,464,19544322,471.25,7204324,2
256066,476.45,513,476.05,59180165,501.9,11308218,2
256066,524.45,533.85,486.3,55830575,505.25,17092498,2
256066,495.05,503.4,479.65,33276900,489.17,7100311,2
256066,487,487.95,472.1,20750735,479.75,3972028,2
256066,488.4,489.95,473.1,14046055,479,3840374,2
256066,469,472.95,452.6,29405504,462.23,9596829,2
256066,457,467.15,450.65,25967554,459.34,3831228,2
256066,459.8,462.4,441.25,21052764,453.64,3859959,2
256066,439.9,443.35,425,31660156,431.55,10455072,2
256066,436.45,448.7,430.75,34435022,440.6,7853298,2
256066,446,449.85,439.25,18620876,444.77,2583463,2
256066,452,455,438,17624795,447.55,3151791,2
256066,441.05,451.9,435.9,17328832,443.35,2286796,2
256066,449.55,450.6,440,20019657,444.56,4176362,2
256066,440.95,446.45,438.5,14306532,442.81,2705723,2
256066,444.55,449.3,436.05,20809700,444.16,6098941,2
256066,443,444,420.55,19014199,431.74,3350695,2
256066,424,426.65,406.3,27558211,416.85,6222525,2
256066,418.1,422.9,406.1,18613053,414.41,2803157,2
256066,414,414.3,401.15,21177325,407.29,6001295,2
256066,407.5,416.7,400.15,20460158,408.38,4352476,2
256066,420,440.6,418.05,19389041,431.97,4330611,2
256066,442.4,443.3,424.8,19998529,430.53,3527894,2
256066,427,428.1,418.75,18485383,422.61,2887189,2
256066,430.2,445.3,427.4,21083336,439.6,3954141,2
256066,444.05,456.45,439.05,24252479,448.07,4776953,2
256066,449.5,452.7,442.7,19387356,447.43,5637866,2
256066,447,455.95,443.5,19873845,451.74,4513811,2
256066,455.55,461.65,447.25,20909290,456.72,6513420,2
256066,453.3,469.8,450.15,28049405,462.32,6511214,2
256066,473.5,480,462.3,21261504,470.26,3145050,2
256066,465.9,473,459.75,15582653,465.91,3050179,2
256066,458,474.65,454,13984719,462.92,3033864,2
256066,473.4,481.95,460,28987003,473.66,7994171,2
256066,465.15,475.5,463,16288158,469.99,2653078,2
256066,477.05,495.9,476.25,28131975,489.57,7479068,2
256066,485.85,498.65,485.1,21376085,493.05,5930844,2
256066,496.9,507.5,486.6,27029707,499.2,7084761,2
256066,496,513,495.65,30022348,505.36,10155909,2
256066,513.9,515.5,504.5,18810270,508.16,6149959,2
256066,508.25,509.85,490.9,17446977,499.08,5346359,2
256066,494,512.25,482.65,24240216,498.6,5108604,2
256066,510.8,517.5,493.5,30343675,505.24,5495885,2
256066,506,516.35,489.35,50934761,502.05,9848592,2
256066,495,501.55,481.6,23142307,492.29,3327194,2
256066,496.85,531.7,495.1,37597227,512.23,11535022,2
256066,525,537,524,25991938,531.65,8491352,2
256066,525.1,533.85,511,28905623,521.8,7565911,2
256066,534.9,542.5,527.55,23728389,535.51,9134812,2
256066,538.75,546,531.2,22256961,539.39,6294781,2
256066,550,568,548.25,26041462,557.23,8028827,2
256066,572,588,568.25,34935409,579.5,11715211,2
256066,579.85,611.15,576.4,50289937,595.88,15064600,2
256066,601.95,610.45,588.8,34244439,598.57,11664561,2
256066,595,612.35,584.3,28813262,599.24,7046475,2
256066,613.95,618,605.55,3211214,615.12,0,2
256066,613.15,630.9,609,25960060,619.15,8682059,2
256066,625,640,622.05,24928180,632.25,7964662,2
256066,619,633,609.05,26525371,623.46,7936333,2
256066,615,616.5,592,29556191,604.68,4036760,2
256066,610.95,612.6,592.7,23728765,601.27,6319602,2
256066,603,622.6,600.55,30742369,612.87,9971416,2
256066,625,630,596,35115637,613.56,9454641,2
256066,602.25,618.2,594.05,35476456,608.19,7986804,2
256066,612,613.65,598.75,29921076,605.39,14229087,2
256066,611,615,596.2,21285697,602.41,8146207,2
256066,607,613.5,601.25,19070722,606.87,5911134,2
256066,610.15,611,600.35,17746316,605.26,4843997,2
256066,606.6,616.45,603.2,20019707,610.34,7547179,2
256066,616.95,624.4,612.45,24658169,618.16,8912413,2
256066,619.1,623.85,611.6,16005349,619.68,4649326,2
256066,619.15,636.7,619,22000284,629.27,8447558,2
256066,624.5,632.45,620.35,16126862,626.99,5887252,2
256066,626.35,631.65,608.35,17950692,619.75,3968964,2
256066,616,623.8,612.4,14567480,618.06,4725895,2
256066,615.75,615.75,602.3,22311290,606.63,6489279,2
256066,613.55,614.9,604.8,14860853,609.19,5079344,2
256066,607.25,611,603.2,14598759,606.34,6115570,2
256066,604.4,611,596.5,17301814,604.52,4457590,2
256066,605.25,607.25,573.4,18580262,593.94,4724586,2
256066,585,593.95,568.4,19896386,580.38,5691636,2
256066,589,594.5,584.3,12247401,590.6,4504416,2
256066,595,614,594.15,15488083,608.39,3419704,2
256066,614,620.8,614,8444506,618.16,2177035,2
256066,620.7,632.4,618.6,13765454,627.14,3717138,2
256066,632.25,634,618.2,10262221,624.41,2239876,2
256066,622.4,625.95,616,12306502,620.51,3900705,2
