co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
100632,737.25,742.3,729.75,5477687,736.05,2540508,5
100632,737.35,765.45,735.4,17263764,756.33,7512460,5
100632,755,764,752.5,7796573,759.35,3290825,5
100632,765.2,775,761.5,8811009,768.11,4031067,5
100632,769.4,796.95,765.55,19362666,785.79,8292880,5
100632,784.9,784.9,772.2,8476675,778.55,4024084,5
100632,780,790,775,6854196,781.17,2894227,5
100632,773.5,789.9,773.5,5206452,782.38,1519722,5
100632,788,805.35,786.05,10804911,797.65,3446257,5
100632,792.95,806.4,781.35,8961822,794.38,3289743,5
100632,799,848.45,794.8,30060998,828.95,6598058,5
100632,900.1,955.5,894.25,90433393,920.45,17589189,5
100632,911,919.9,892.15,31682904,903.73,5450549,5
100632,908.5,945,906.75,18421083,921.63,6137409,5
100632,945,949.7,929.2,12877814,937.15,4740621,5
100632,938.95,939,910,14354421,921.44,6908739,5
100632,915.65,915.8,900.65,13052804,907.32,6886521,5
100632,903.25,925.75,903.25,18209670,915.28,5807097,5
100632,921.55,952.8,918.65,16828218,939.16,5906860,5
100632,946,967.55,941.2,15819466,953.58,5480184,5
100632,953.25,960,943.6,11152710,952.22,4338542,5
100632,962,972.65,958.75,12492569,965.59,5962965,5
100632,969.25,986.45,953.3,12704359,971.12,3201880,5
100632,960,965.4,947.45,8480166,954.94,4108547,5
100632,960.45,970.7,940.55,11133259,949.99,5087564,5
100632,952,960.95,938.3,9616176,947.7,4213200,5
100632,953.5,974.4,942.5,10976523,962.12,4515915,5
100632,969.45,969.45,949,8010973,955.24,3116391,5
100632,948.9,956.8,945.3,5716472,952.75,2546222,5
100632,949.9,962,946.1,6802508,953.42,2448032,5
100632,948,958.8,942.2,6908732,950.21,2560388,5
100632,954.8,968.5,948.25,5097705,956.51,1882537,5
100632,955.85,963,952.05,4663873,957.2,1975922,5
100632,954.1,972.45,954.1,9008716,962.38,2894495,5
100632,963.9,969.2,958.7,6142171,964.28,2806845,5
100632,970.9,971.55,957.45,6622744,963.05,2957273,5
100632,958.9,965.5,951.3,5656667,957.55,2160695,5
100632,963.05,963.45,946.55,6513784,951.89,3987201,5
100632,947,952,939.2,5798579,946.24,2986383,5
100632,947.5,948.65,933.6,6233923,940.65,3116528,5
100632,941.25,954.25,938.4,5153663,945.03,2282594,5
100632,960,960.95,945.2,6154300,952.03,2632139,5
100632,951.45,952.5,933.05,7593988,940.5,4654594,5
100632,935.25,950.5,914.6,12808369,933.36,6793301,5
100632,926.25,935,912.1,6907783,921.79,3811587,5
100632,915,926.4,913.5,5678696,920.9,2441981,5
100632,926.5,949.4,924,8828016,937.36,3361958,5
100632,915,929.5,914.45,8650414,921.81,4241995,5
100632,918.9,927.55,913.05,6700450,921.27,3112558,5
100632,929.95,952,925.55,12892115,942.77,4736971,5
100632,935,946,926,5529150,933.78,2390850,5
100632,935.3,942,924.8,5172091,934.08,2082999,5
100632,934.9,954.15,931,6672082,945.41,2587438,5
100632,957,991.05,948.3,21871591,976.06,7898631,5
100632,979.5,994,971.65,11608223,982.27,4776790,5
100632,986,1005.65,982,10059392,991.46,4103847,5
100632,995,1021,995,15628308,1010.52,7204674,5
100632,1011,1018.8,999.1,12897897,1007.23,7647298,5
100632,1001,1031,1000.5,14140790,1019.34,5910877,5
100632,1009,1022.5,991.2,12625775,1007.79,4743936,5
100632,1020.15,1037,1008.1,13486274,1024.08,4569223,5
100632,1003,1009,970,14427463,986.71,6468889,5
100632,975.8,1014.9,975,13311079,998.29,5010827,5
100632,1014.8,1016.15,998.5,8554583,1004.87,3569074,5
