co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
140829,5838.3,5885,5775,1284965,5815.43,183034,5
140829,5850,5960,5762.8,1470951,5866.62,287700,5
140829,5948.45,5988.6,5883.05,1059779,5935.57,85535,5
140829,5963.45,6147.7,5925,1385087,6045.46,183667,5
140829,6140,6250,6092.65,1799721,6187.36,476086,5
140829,6226.75,6235,6022.6,1204104,6124.25,294304,5
140829,6080,6096,5931.35,1043433,5994.28,191108,5
140829,5980,6085.1,5921,1168905,5986.88,101731,5
140829,6000,6059.25,5927.8,1035124,5988.05,197689,5
140829,5951,5958.75,5750,1602939,5817.51,526489,5
140829,5810,5879.8,5755,1246712,5817.7,294213,5
140829,5809,5920,5752,1018659,5849.8,176880,5
140829,5898,5956,5851,810164,5909.33,117796,5
140829,5935,5936,5812,912611,5864.05,151710,5
140829,5919.5,6150,5900,1854694,6080.33,350907,5
140829,6117,6129,5939.7,1140094,6034.25,254649,5
140829,6013,6090,5967.95,701702,6047.91,78069,5
140829,6010,6047.35,5932.1,793324,5985.18,106961,5
140829,6008,6062.85,5928.05,902597,6001.19,144621,5
140829,6050,6320.35,6031.15,1774866,6206.76,323590,5
140829,6269.95,6295,6118.95,2057207,6196.86,470601,5
140829,6184.05,6393.65,6170.05,2217867,6318.7,490512,5
140829,6265,6379.85,6209,1613555,6287.71,387927,5
140829,6380,6437.45,6125.05,1836582,6247.42,381819,5
140829,6199,6376.85,6185,1223516,6301.15,200366,5
140829,6388.9,6597.7,6380,2278683,6523.9,503778,5
140829,6534.95,6585.85,6434.4,1233253,6498.88,148369,5
140829,6498,6749.5,6481.85,1568000,6645.66,286218,5
140829,6690,6728.7,6576,1601753,6645.25,292695,5
140829,6665,6713.5,6611,880811,6656.9,103962,5
140829,6609.95,6778.05,6592.1,1114994,6708.04,211836,5
140829,6729.95,6772,6655,1087096,6720.91,135660,5
140829,6740,6745.15,6552.05,905798,6637.52,160256,5
140829,6660,6789.95,6588.2,1028545,6703.34,151803,5
