co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
163226,79,80.95,78.3,35344809,79.87,11141105,5
163226,81.35,84.15,81.1,35154233,82.87,13211827,5
163226,82.45,83.35,81.6,16793161,82.43,7815221,5
163226,83.05,84.9,82.8,17511379,84.06,7592852,5
163226,83.75,83.8,81.8,20124675,82.22,9137416,5
163226,82,82.9,81,18626982,81.83,8435286,5
163226,81.6,82.25,79.9,17348338,80.83,9004544,5
163226,80,80.15,77.7,17773267,78.77,7470697,5
163226,79.2,79.55,78.4,9361006,78.96,2663791,5
163226,78.5,78.95,77.15,9303884,77.82,3263934,5
163226,78,78.2,75.85,14377120,77.29,3986101,5
163226,76.4,76.7,75,10605125,75.75,3408052,5
163226,76.3,80.65,76.3,24934073,79.29,7377462,5
163226,81,81.25,79.2,15570377,80.38,4004515,5
163226,80.6,82.9,80.35,20976714,82.06,7836789,5
163226,82.75,83.5,81.7,17884327,82.69,5071543,5
163226,82.5,83.85,82.05,14674735,83,4509001,5
163226,82.1,82.4,80.25,10000517,81.15,3200186,5
163226,81.4,82,80.1,8511120,81.19,2185319,5
163226,81,81.25,79.3,10618186,80.04,3603750,5
163226,79.8,80.7,79.3,9906214,80.04,3214585,5
163226,80,80.4,77.5,9671441,78.6,3666999,5
163226,77.95,78.85,77.15,10965340,77.98,3962363,5
163226,78.35,78.5,75.55,11874519,76.63,5645207,5
163226,76.3,77.7,75.9,13370396,76.75,3960988,5
163226,76.5,77.5,76.3,9078922,77.01,3104930,5
163226,77.85,79.95,77.05,26386804,78.5,5268795,5
163226,78.15,79.4,78.1,11787233,78.74,2837568,5
163226,79.5,79.75,78.9,7067873,79.29,2685031,5
163226,79.55,80,78.2,10835770,78.9,4286466,5
163226,78.45,79.1,77.7,10482298,78.3,3240210,5
163226,78.55,79.45,78.4,7316685,78.84,2562990,5
163226,78.7,78.95,76.95,11637195,77.79,4363018,5
163226,77.5,79.8,77.4,13612342,78.8,4978676,5
163226,79.75,81.9,79.15,28330266,81,8197064,5
163226,80.85,81.7,79.1,12081506,80.58,3688459,5
163226,79,83.25,77.9,37457741,81.15,9135945,5
163226,82.95,83.45,80.65,17027759,82.08,5424049,5
163226,81.3,81.85,80.6,9798867,81.24,2461141,5
163226,81.4,82.5,80.2,22481154,81.04,6248870,5
163226,81.2,82.1,80.75,15968479,81.52,4311541,5
163226,81.8,81.95,80,16309200,80.73,6023705,5
163226,80.35,81.8,80,14667141,80.97,4161873,5
163226,81,85.5,80.9,93193563,83.31,21368248,5
163226,82.75,82.8,78,38005572,79.25,9963296,5
163226,81.15,81.75,79.5,31155170,80.38,4776131,5
163226,80.5,81.3,78.8,19976183,79.62,6856348,5
163226,78.55,79.1,77.35,12855872,78.32,3851124,5
163226,78.2,78.35,75.95,16574103,76.74,5595567,5
163226,76.55,76.65,74,17905760,75.33,7760688,5
163226,73.95,73.95,70.9,28166431,71.87,8750296,5
163226,73.5,74.4,72.65,18646453,73.56,5345740,5
163226,73.45,73.7,72.6,11511957,73.14,2817617,5
163226,73.85,74.75,73.25,11990117,74.02,2591340,5
163226,73.75,74.35,73.25,8883209,73.74,2509035,5
163226,74.25,74.45,72.55,10285753,73.2,3422777,5
163226,73.05,74.3,72.85,16070908,73.56,2795768,5
163226,73.8,74.8,72.95,25692290,73.97,12490749,5
163226,74,74.1,70.9,13686791,72.52,4100349,5
163226,71,71.3,68.75,18043170,69.49,4475501,5
163226,69.7,70.15,67.4,17014241,68.19,6360439,5
163226,66.05,67.35,65.5,32950980,66.56,15952888,5
163226,68,69.25,66.15,20235948,67.33,4789888,5
163226,69.45,73.7,69.25,28336618,72.42,4084790,5
163226,72.5,72.7,68.9,20798564,69.86,6802272,5
163226,69.4,70.45,67.6,20069463,69.06,4086112,5
163226,67.5,69.4,66.65,20869336,68.14,2531936,5
163226,69,69.7,68.4,12608190,69.07,3493762,5
163226,70,70.2,69,10028722,69.47,2186815,5
163226,69.3,73.35,69.1,50074521,71.28,8930638,5
163226,70.9,71,68.25,21348290,69.05,7611439,5
163226,69,70.6,68.25,25747434,69.64,7330659,5
163226,70.3,70.6,68.8,10564969,69.54,2960257,5
163226,69.1,69.75,68.8,9070869,69.3,2349477,5
163226,68.5,68.8,66.65,24828155,67.13,10702792,5
163226,67,68.5,65.7,17334497,67.09,5872411,5
163226,66.65,67.55,66,18591533,66.57,6265778,5
163226,67.35,70.45,67.35,25987839,69.58,7097744,5
163226,69.5,69.75,67.25,18530440,67.78,6506773,5
163226,68,68.6,67,19590729,67.86,6421079,5
163226,67.4,69.1,67.3,26356513,68.7,12271754,5
163226,69.2,69.6,68.6,13180165,69,4753020,5
163226,69.5,69.5,67.65,14225064,68.55,4226785,5
163226,68.1,68.45,66.5,17088935,67.01,5779751,5
163226,67.25,67.4,66.1,15025734,66.64,5204697,5
163226,66.05,66.35,64.1,29901827,64.57,10674747,5
163226,65,65.9,64.2,25857851,64.9,8225131,5
