co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
125123,3888,3933.95,3862.1,331198,3895.67,100531,10
125123,3911,3947,3882,294329,3914.02,125542,10
125123,3926,3960,3875,257664,3904.13,82144,10
125123,3920,3944.7,3904.5,254346,3928.52,99912,10
125123,3940,3947.85,3826.5,452430,3859.56,208472,10
125123,3884.95,3884.95,3776.8,635619,3808.09,279377,10
125123,3802,3858.75,3767.05,524030,3832.26,174605,10
125123,3835.05,3844.7,3783,336838,3805.34,168344,10
125123,3820,3837.8,3778,302967,3801.49,135239,10
125123,3784.8,3820.8,3744,351720,3773,163775,10
125123,3782.2,3829.95,3772,274207,3809.13,120331,10
125123,3824.95,3834,3735,412522,3787.2,140180,10
125123,3820,3869,3812.2,237486,3853.02,107520,10
125123,3863.1,3890,3826.95,277775,3863.98,117514,10
125123,3899,3955,3850,614204,3906.71,305888,10
125123,3880,3905,3837.9,433237,3874.64,228534,10
125123,3862.65,3890,3826.05,264268,3864.09,106296,10
125123,3839,3839.05,3735.35,594689,3773.55,333419,10
125123,3790.1,3901,3781,499750,3848.64,142474,10
125123,3877,4213,3862.15,2492216,4065.64,378010,10
125123,4169.9,4287.35,4155,1777726,4224.25,347435,10
125123,4199.95,4219.75,4128.55,595249,4182.5,156132,10
125123,4159.95,4209,4092.5,413669,4139.99,117032,10
125123,4139,4155,4027.6,490182,4085,232846,10
125123,4050.55,4074,3984.15,600944,4005.91,304875,10
125123,4034.8,4110,4015,569833,4062.42,150225,10
125123,4068.9,4083.75,4001.05,378473,4046.23,132999,10
125123,4026,4072,3982.45,348651,4015.78,119811,10
125123,4048,4048,3961,590904,3995.06,177481,10
125123,3994,4077.3,3961,823633,4017.59,198805,10
125123,3973.45,4014.15,3926,466155,3970.84,102466,10
125123,4024.9,4075,4007.1,545546,4044.9,172040,10
125123,4045,4090.9,3965.35,661653,4044.14,230327,10
125123,4040,4049.95,3985.1,315955,4018.82,104043,10
125123,4039,4180,4039,1154518,4138.41,242754,10
125123,4186,4216,4172.1,618696,4198.48,277506,10
125123,4178.95,4197.35,4131.4,350931,4167.04,126544,10
125123,4187.9,4202.5,4140.1,490731,4183.29,228692,10
125123,4216.95,4224,4170,379074,4197.93,159921,10
